iter	Passed	Remaining
405	6589	25872
406	6604	25850
407	6618	25823
408	6631	25796
409	6645	25773
410	6662	25757
411	6681	25751
412	6698	25740
413	6715	25727
414	6742	25753
415	6766	25765
416	6783	25751
417	6800	25736
418	6823	25747
419	6840	25731
420	6855	25710
421	6871	25693
422	6887	25678
423	6903	25658
424	6917	25635
425	6933	25617
426	6952	25610
427	6968	25595
428	6984	25578
429	7001	25562
430	7017	25546
431	7033	25529
432	7049	25510
433	7063	25486
434	7078	25467
435	7095	25454
436	7112	25440
437	7128	25421
438	7144	25404
439	7158	25381
440	7174	25362
441	7188	25339
442	7205	25326
443	7222	25311
444	7236	25288
445	7251	25266
446	7266	25244
447	7280	25222
448	7298	25212
449	7316	25200
450	7333	25186
451	7348	25166
452	7363	25145
453	7376	25119
454	7391	25097
455	7408	25083
456	7424	25068
457	7439	25048
458	7452	25020
459	7466	24995
460	7481	24975
461	7497	24957
462	7512	24938
463	7527	24918
464	7541	24894
465	7555	24872
466	7570	24851
467	7585	24830
468	7600	24811
469	7615	24789
470	7629	24768
471	7644	24745
472	7661	24734
473	7678	24718
474	7694	24702
475	7708	24679
476	7723	24660
477	7739	24643
478	7753	24619
479	7768	24599
480	7784	24582
481	7799	24562
482	7815	24547
483	7832	24532
484	7848	24515
485	7865	24503
486	7884	24496
487	7902	24483
488	7919	24471
489	7937	24460
490	7955	24448
491	7968	24424
492	7985	24410
493	8004	24403
494	8022	24392
495	8037	24370
496	8052	24352
497	8068	24336
498	8084	24318
499	8110	24330
500	8127	24318
501	8143	24299
502	8158	24280
503	8174	24263
504	8190	24246
505	8211	24243
506	8226	24224
507	8241	24205
508	8256	24187
509	8271	24164
510	8286	24147
511	8305	24137
512	8321	24121
513	8337	24104
514	8352	24084
515	8369	24069
516	8384	24049
517	8400	24033
518	8417	24019
519	8433	24003
520	8448	23982
521	8464	23965
522	8479	23947
523	8495	23930
524	8510	23911
525	8526	23892
526	8542	23877
527	8557	23857
528	8571	23834
529	8586	23815
530	8604	23804
531	8622	23792
532	8638	23777
533	8653	23756
534	8668	23738
535	8683	23718
536	8701	23706
537	8717	23689
538	8732	23671
539	8747	23650
540	8760	23626
541	8775	23606
542	8788	23582
543	8803	23561
544	8820	23547
545	8834	23526
546	8848	23503
547	8861	23480
548	8875	23457
549	8887	23429
550	8901	23408
551	8916	23390
552	8933	23374
553	8947	23354
554	8962	23333
555	8975	23310
556	8989	23289
557	9003	23266
558	9018	23247
559	9031	23223
560	9045	23202
561	9060	23182
562	9075	23164
563	9089	23143
564	9104	23124
565	9122	23111
566	9135	23089
567	9152	23074
568	9166	23053
569	9180	23031
570	9194	23009
571	9208	22988
572	9226	22977
573	9244	22966
574	9258	22944
575	9271	22922
576	9285	22900
577	9299	22877
578	9312	22854
579	9326	22833
580	9342	22818
581	9355	22794
582	9369	22773
583	9382	22749
584	9395	22724
585	9408	22702
586	9422	22681
587	9438	22665
588	9452	22643
589	9465	22621
590	9480	22601
591	9495	22584
592	9510	22566
593	9523	22541
594	9537	22522
595	9551	22500
596	9565	22479
597	9579	22458
598	9594	22441
599	9637	22487
600	9649	22461
601	9661	22436
602	9674	22414
603	9689	22393
604	9703	22374
605	9720	22359
606	9734	22339
607	9746	22313
608	9759	22291
609	9772	22268
610	9789	22254
611	9804	22236
612	9817	22214
613	9832	22195
614	9846	22174
615	9859	22152
616	9873	22131
617	9889	22116
618	9903	22095
619	9916	22072
620	9930	22051
621	9944	22030
622	9955	22005
623	9969	21984
624	9983	21963
625	9996	21941
626	10009	21919
627	10025	21901
628	10038	21880
629	10052	21859
630	10069	21846
631	10081	21822
632	10096	21803
633	10109	21781
634	10124	21764
635	10141	21750
636	10156	21732
637	10169	21709
638	10181	21686
639	10205	21686
640	10221	21669
641	10234	21649
642	10248	21629
643	10264	21612
644	10280	21597
645	10294	21577
646	10308	21556
647	10321	21535
648	10336	21517
649	10351	21498
650	10365	21479
651	10380	21460
652	10393	21438
653	10405	21416
654	10422	21402
