iter	Logloss
0	0.6643500553
1	0.638111128
2	0.6129777693
3	0.5902193671
4	0.5700415294
5	0.5539316992
6	0.5385499435
7	0.5234928636
8	0.510362317
9	0.4980784528
10	0.4868811625
11	0.4772666186
12	0.4686636533
13	0.4610517091
14	0.4536010038
15	0.4468940034
16	0.4402485632
17	0.4344271236
18	0.4292255119
19	0.4246975383
20	0.4205586986
21	0.416814774
22	0.4133731274
23	0.4102247197
24	0.4074188115
25	0.4044646732
26	0.4016665522
27	0.3991355628
28	0.3967749479
29	0.3946353035
30	0.3925732328
31	0.3908523454
32	0.3891860108
33	0.3874101882
34	0.3859560531
35	0.3847484399
36	0.3834697392
37	0.3822837456
38	0.3811299005
39	0.3799888334
40	0.378768049
41	0.3776524161
42	0.3765817964
43	0.375605261
44	0.3747297478
45	0.3739025987
46	0.3732384848
47	0.3724209123
48	0.3717593529
49	0.3710973728
50	0.3704053817
51	0.3697978422
52	0.3691878696
53	0.3686426805
54	0.3681311497
55	0.3676410289
56	0.3672213712
57	0.3667541127
58	0.3662562875
59	0.3658682656
60	0.3654785554
61	0.3650463485
62	0.3647621285
63	0.3643247916
64	0.3639780613
65	0.3636243532
66	0.363338193
67	0.3630526216
68	0.3627154161
69	0.3624002254
70	0.3620804117
71	0.3618111407
72	0.3615977089
73	0.3612729592
74	0.3609490165
75	0.3605975496
76	0.360317766
77	0.3600164541
78	0.359753173
79	0.359406964
80	0.359180066
81	0.3588804323
82	0.3586139909
83	0.3582820923
84	0.3580880084
85	0.3578588715
86	0.3576102926
87	0.3574044022
88	0.3570975185
89	0.356918355
90	0.3566503132
91	0.35643044
92	0.3562340064
93	0.3560183293
94	0.3558528571
95	0.3556608026
96	0.3554142403
97	0.3552394047
98	0.3550880668
99	0.3549046791
100	0.3547574386
101	0.354494404
102	0.3543069255
103	0.3540865561
104	0.3539706419
105	0.3538500046
106	0.3536769483
107	0.3535428014
108	0.3532905277
109	0.3531386558
110	0.3529322616
111	0.3527963784
112	0.3526040266
113	0.3524639847
114	0.3523367172
115	0.3521861241
116	0.3520516664
117	0.3518878007
118	0.3517324472
119	0.3516274254
120	0.3514699086
121	0.3513377117
122	0.3512049279
123	0.3510612734
124	0.3509144534
125	0.3507831094
126	0.3506781582
127	0.3505452629
128	0.3503996045
129	0.3502405179
130	0.3501184902
131	0.3500265896
132	0.3499226641
133	0.349799613
134	0.34962926
135	0.3494776422
136	0.3494036083
137	0.3492786893
138	0.3491598143
139	0.3490182815
140	0.3489492098
141	0.348821975
142	0.3486941639
143	0.3485828892
144	0.3484704012
145	0.3483695021
146	0.3482629385
147	0.3481930446
148	0.3480740944
149	0.3479870409
150	0.3478542717
151	0.3477514986
152	0.3476567291
153	0.3475047034
154	0.347372153
155	0.3472846751
156	0.3471253152
157	0.346980715
158	0.3468309304
159	0.3466949709
160	0.3465688931
161	0.3464847767
162	0.3463987613
163	0.3463145718
164	0.346194293
165	0.3460830971
166	0.3459973553
167	0.3458928801
168	0.3458150528
169	0.3457403491
170	0.3456516503
171	0.3455644299
172	0.345454154
173	0.3453219934
174	0.3452086266
175	0.3450616557
176	0.3449149255
177	0.3448306033
178	0.3447598491
179	0.3446581855
180	0.3445969737
181	0.3445114214
182	0.3443744967
183	0.3442534734
184	0.3441491935
185	0.3440711197
186	0.3439847
187	0.3438864057
188	0.343803749
189	0.3436882342
190	0.3435589294
191	0.3434622293
192	0.3433632977
193	0.3432848011
194	0.3432207935
195	0.3431374718
196	0.3430557356
197	0.3429986411
198	0.3429022474
199	0.3428446833
200	0.3427492682
201	0.3426386734
202	0.3425686231
203	0.342493491
204	0.342417991
205	0.3423205834
206	0.3422055341
207	0.3420967013
208	0.3419876681
209	0.3419212607
210	0.3418342116
211	0.3417640052
212	0.3416873468
213	0.341621674
214	0.3415648756
215	0.3415002259
216	0.3414515059
217	0.3413675857
218	0.3412911702
219	0.3411731245
220	0.3411181276
221	0.341058989
222	0.3409974094
223	0.3409242361
224	0.340843312
225	0.3407803066
226	0.3407292416
227	0.340646439
228	0.340573672
229	0.3404677882
230	0.3403928534
231	0.3403138147
232	0.3402600294
233	0.3401637541
234	0.3400925304
235	0.3399575444
236	0.3398707729
237	0.3397835018
238	0.3397114701
239	0.3395995072
240	0.3395351874
241	0.3394772676
242	0.3393684452
243	0.3392398546
244	0.3391658331
245	0.3390923555
246	0.3390169408
247	0.3388873014
248	0.3388139796
249	0.3387527097
250	0.3386633221
251	0.3385823804
252	0.3385153347
253	0.3384360874
254	0.3383529886
255	0.3382993267
256	0.3382344651
257	0.3381641156
258	0.3381149457
259	0.3380359304
260	0.3379840677
261	0.3378907135
262	0.3378068612
263	0.3377193896
264	0.3376289514
265	0.337579375
266	0.3375280821
267	0.3374147803
268	0.3373345239
269	0.3372802373
270	0.3372114034
271	0.3371425264
272	0.3370387898
273	0.3369659181
274	0.3368571488
275	0.3367838334
276	0.3367102102
277	0.3366258723
278	0.3365589899
279	0.3364733361
280	0.3364093649
281	0.336345834
282	0.3362659938
283	0.3361682573
284	0.336086241
285	0.3359536013
286	0.335843413
287	0.3357929147
288	0.3356991408
289	0.3356460078
290	0.3355488624
291	0.3354822738
292	0.3353658368
293	0.3352849377
294	0.3351880427
295	0.3350805336
296	0.335014206
297	0.3349431515
298	0.3348662585
299	0.3347968316
300	0.3347189176
301	0.3346114051
302	0.3345540329
303	0.3344813898
304	0.3344372184
305	0.3343732363
306	0.3342946246
307	0.3342247752
308	0.3341156805
309	0.3340254373
310	0.333951605
311	0.3338441164
312	0.3337820333
313	0.3336984855
314	0.3336094584
315	0.3335364422
316	0.3334370023
317	0.3333748961
318	0.333297926
319	0.3331820283
320	0.3331002047
321	0.3330302838
322	0.332957115
323	0.3328881675
324	0.3328290501
325	0.332753561
326	0.3327022405
327	0.3326096178
328	0.332545356
329	0.3324752613
330	0.3324031017
331	0.3323483736
332	0.332288518
333	0.3322311034
334	0.3321668516
335	0.3321050047
336	0.3320231818
337	0.3319652673
338	0.3318743231
339	0.3317930887
340	0.3317096937
341	0.3316464341
342	0.3315941405
343	0.3315353647
344	0.3314729451
345	0.3313952121
346	0.3313001071
347	0.3312383454
348	0.3311602068
349	0.3310901477
350	0.3310316465
351	0.3309733288
352	0.3309210753
353	0.3308821789
354	0.3308217573
355	0.3307588224
356	0.3306961236
357	0.3306128589
358	0.3305083583
359	0.3304505431
360	0.3303640805
361	0.330303207
362	0.3302497312
363	0.330204678
364	0.3301191784
365	0.3300515559
366	0.3299638758
367	0.3298958067
368	0.3298404595
369	0.3297889247
370	0.3296909459
371	0.3296073909
372	0.3295257795
373	0.3294728574
374	0.3294210651
375	0.3293458194
376	0.3292770843
377	0.3292299035
378	0.3291754728
379	0.3291014922
380	0.3290438966
381	0.3289694702
382	0.3288743213
383	0.3287825736
384	0.3287140716
385	0.3286611083
386	0.3285860099
387	0.3285221214
388	0.3284553651
389	0.328387467
390	0.3283348707
391	0.3282898004
392	0.3282238994
393	0.3281680475
394	0.3280945127
